SampleID,Discussion
1,"Possibly he is a misspelling of the hero of Ayn Rand's novel, ""Atlas Shrugged"", John Galt. Alternatively, you may be referring to the hero in a parody of Rand's novel. See also: \nhttp://www.reason.com/hitandrun/2004/11/ayn_rand_and_th.shtml"
2,Like anal fisting teens?
3,Look into these sites:\nhttp://www.ukparks.com/\nhttp://www.bob.org.uk/\nhttp://www.caravancampingsites.co.uk/\nhttp://www.camp-sites.co.uk/\nhttp://www.uk-sites.com/
4,"NOVEMBER 03, 2004 (IDG NEWS SERVICE) - An anonymous group of malicious hackers reopened an online store that sells the stolen source code of prominent software products and is offering the code for Cisco Systems Inc."
5,"Of course they take a SMALL commissioned rate if you sell something that's well a grand or something.  But the listing fees are small, and if you own a ebay Store on the site it costs you 10 bucks a month for it.  But they do not take your profits.  That only occurs when you sell something that gets in the very high price ranges, like 500 to 1,000 dollars or more.  I've sold and brought items from eBay for over five years, and I've never had eBay make  profit from it.  Go to the site and check out their rules and regulations.  Good luck."
6,you may need to get your eyes checked to see if you need glasses.
7,Yes! I am trying to have a great time today!!!\n\n=)
8,"AEP Texas Central Company \n1 Riverside Plaza\nColumbus, OH 43215-2372\nPhone: 614-716-1000\nFax: 614-716-1823\n\nAEP Texas North Company \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\n\nAmerican Electric Power Company, Inc. \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\nFax: 614-716-1823\n\nAmerican Municipal Power-Ohio, Inc. \n2600 Airport Dr.\nColumbus, OH 43219 \nPhone: 614-337-6222\nFax: 614-337-6220\nToll Free: 800-875-2676\n\nAppalachian Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\nFax: 614-716-1823\n\nThe Babcock & Wilcox Company \n20 S. Van Buren Ave.\nBarberton, OH 44203-0351\nPhone: 330-753-4511\nFax: 330-860-1886\nToll Free: 800-222-2625\n\nBuckeye Power Inc. \n6677 Busch Blvd.\nColumbus, OH 43229\nPhone: 614-846-5757\nFax: 614-846-7108\n\nThe Cincinnati Gas & Electric Company \n139 E 4th St.\nCincinnati, OH 45202\nPhone: 513-421-9500\nFax: 513-287-3171\nToll Free: 800-544-6900\n\nCinergy Corp. \n139 E. 4th St.\nCincinnati, OH 45202 \nPhone: 513-421-9500\nFax: 513-287-1088\nToll Free: 800-262-3000\n\nThe Cleveland Electric Illuminating Company \n76 S. Main St.\nAkron, OH 44308\nPhone: 800-646-0400\nFax: 330-384-3866\nToll Free: 800-736-3402\n\nColumbia Gas of Ohio, Inc. \n200 Civic Center Dr.\nColumbus, OH 43215\nPhone: 614-460-6000\nFax: 614-460-4265\nToll Free: 800-344-4077\n\nColumbus Southern Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\nFax: 614-716-1823\n\nDPL Inc. \n1065 Woodman Dr.\nDayton, OH 45432 \nPhone: 937-224-6000\nFax: 937-259-7147\n\nThe East Ohio Gas Company \n1201 E. 55th St.\nCleveland, OH 44114 \nPhone: 216-361-2345\nFax: 216-736-6236\nToll Free: 800-432-3456\n\nFirstEnergy Corp.\n76 S. Main St.\nAkron, OH 44308 \nPhone: 800-633-4766\nFax: 330-384-3866\n\nGridAmerica LLC \nKey Tower, 50th Fl., 127 Public Sq.\nCleveland, OH 44114-1216\nPhone: 216-776-1900\nFax: 216-776-1599\n\nIndiana Michigan Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\nFax: 614-716-1823\n\nJersey Central Power & Light Company \n76 S. Main St.\nAkron, OH 44308\nPhone: 800-736-3402\nFax: 330-384-3866\n\nKentucky Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372 \nPhone: 614-716-1000\nFax: 614-716-1823\n\nMetropolitan Edison Company \n76 S. Main St.\nAkron, OH 44308\nPhone: 800-646-0400\nFax: 330-384-3866\n\nOhio Edison Company \n76 S. Main St.\nAkron, OH 44308 \nPhone: 800-646-0400\nFax: 330-384-3866\n\nOhio Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372\nPhone: 614-716-1000\nFax: 614-716-1823\nToll Free: 800-277-2177\n\nOhio Valley Electric Corporation \n3932 US Rte. 23\nPiketon, OH 45661 \nPhone: 740-289-7200\nFax: 740-289-7253\n\nPennsylvania Electric Company \n76 S. Main St.\nAkron, OH 44308 \nPhone: 800-646-0400\nFax: 330-384-3866\n\nPennsylvania Power Company \n76 S. Main St.\nAkron, OH 44308 \nPhone: 800-646-0400\nFax: 330-384-3866\nToll Free: 800-720-3600\n\nPublic Service Company of Oklahoma \n1 Riverside Plaza\nColumbus, OH 43215-2372\nPhone: 614-716-1000\nFax: 614-716-1823\nToll Free: 888-216-3523\n\nSouth Central Power Company \n2780 Coonpath Rd. NE\nLancaster, OH 43130 \nPhone: 740-653-4422\nFax: 740-681-4488\n\nSouthwestern Electric Power Company \n1 Riverside Plaza\nColumbus, OH 43215-2372\nPhone: 614-716-1000\nFax: 614-716-1823\n\nThe Toledo Edison Company \n76 S. Main St.\nAkron, OH 44308\nPhone: 800-646-0400\nFax: 330-384-3866\n\nThe Union Light, Heat and Power Company \n139 E. 4th St.\nCincinnati, OH 45202\nPhone: 513-421-9500\nFax: 513-287-3171\nToll Free: 800-554-6900\n\nVectren Energy Delivery of Ohio Inc. \n40 N. Main St., Ste. 2010\nDayton, OH 45423\nPhone: 800-227-1376"
9,"History was made in New York on October 6th, 1927 when the very first spoken voice in a feature film was heard.\n\nThe voice belonged to Al Jolson and the ground breaking movie â€“ The Jazz Singer. The reaction by the theatre audience was immediate â€“ they rose to their feet, applauding ecstatically. The moment came in the middle of the film when, during a nightclub scene, Jolson suddenly spoke.\n\n\n The first words ever spoken in a movie were, â€œWait a minute, wait a minute. You ainâ€™t heard nothinâ€™ yet!â€ The words were truly prophetic in light of the massive advances taken in the realms of movie sound since that time."
10,"yes, as a matter of fact i do.....smiles..temptress"
